Datetime,Soil_Moisture_30cm
04/01/2011 00:00:00,0.56
04/01/2011 01:00:00,0.56
04/01/2011 02:00:00,0.56
04/01/2011 03:00:00,0.559
04/01/2011 04:00:00,0.558
04/01/2011 05:00:00,0.558
04/01/2011 06:00:00,0.558
04/01/2011 07:00:00,0.557
04/01/2011 08:00:00,0.557
04/01/2011 09:00:00,0.556
04/01/2011 10:00:00,0.557
04/01/2011 11:00:00,0.557
04/01/2011 12:00:00,0.556
04/01/2011 13:00:00,0.555
04/01/2011 14:00:00,0.555
04/01/2011 15:00:00,0.554
04/01/2011 16:00:00,0.551
04/01/2011 17:00:00,0.554
04/01/2011 18:00:00,0.554
04/01/2011 19:00:00,0.554
04/01/2011 20:00:00,0.554
04/01/2011 21:00:00,0.553
04/01/2011 22:00:00,0.554
04/01/2011 23:00:00,0.553
04/02/2011 00:00:00,0.553
04/02/2011 01:00:00,0.553
04/02/2011 02:00:00,0.553
04/02/2011 03:00:00,0.553
04/02/2011 04:00:00,0.553
04/02/2011 05:00:00,0.553
04/02/2011 06:00:00,0.551
04/02/2011 07:00:00,0.551
04/02/2011 08:00:00,0.551
04/02/2011 09:00:00,0.55
04/02/2011 10:00:00,0.551
04/02/2011 11:00:00,0.55
04/02/2011 12:00:00,0.55
04/02/2011 13:00:00,0.549
04/02/2011 14:00:00,0.548
04/02/2011 15:00:00,0.548
04/02/2011 16:00:00,0.548
04/02/2011 17:00:00,0.548
04/02/2011 18:00:00,0.547
04/02/2011 19:00:00,0.546
04/02/2011 20:00:00,0.546
04/02/2011 21:00:00,0.547
04/02/2011 22:00:00,0.545
04/02/2011 23:00:00,0.545
04/03/2011 00:00:00,0.545
04/03/2011 01:00:00,0.545
04/03/2011 02:00:00,0.544
04/03/2011 03:00:00,0.544
04/03/2011 04:00:00,0.545
04/03/2011 05:00:00,0.545
04/03/2011 06:00:00,0.529
04/03/2011 07:00:00,0.517
04/03/2011 08:00:00,0.512
04/03/2011 09:00:00,0.502
04/03/2011 10:00:00,0.494
04/03/2011 11:00:00,0.489
04/03/2011 12:00:00,0.479
04/03/2011 13:00:00,0.474
04/03/2011 14:00:00,0.467
04/03/2011 15:00:00,0.463
04/03/2011 16:00:00,0.46
04/03/2011 17:00:00,0.456
04/03/2011 18:00:00,0.454
04/03/2011 19:00:00,0.451
04/03/2011 20:00:00,0.45
04/03/2011 21:00:00,0.447
04/03/2011 22:00:00,0.445
04/03/2011 23:00:00,0.445
04/04/2011 00:00:00,0.444
04/04/2011 01:00:00,0.442
04/04/2011 02:00:00,0.44
04/04/2011 03:00:00,0.438
04/04/2011 04:00:00,0.438
04/04/2011 05:00:00,0.437
04/04/2011 06:00:00,0.434
04/04/2011 07:00:00,0.435
04/04/2011 08:00:00,0.432
04/04/2011 09:00:00,0.432
04/04/2011 10:00:00,0.431
04/04/2011 11:00:00,0.43
04/04/2011 12:00:00,0.43
04/04/2011 13:00:00,0.43
04/04/2011 14:00:00,0.43
04/04/2011 15:00:00,0.428
04/04/2011 16:00:00,0.428
04/04/2011 17:00:00,0.425
04/04/2011 18:00:00,0.426
04/04/2011 19:00:00,0.425
04/04/2011 20:00:00,0.424
04/04/2011 21:00:00,0.422
04/04/2011 22:00:00,0.423
04/04/2011 23:00:00,0.423
04/05/2011 00:00:00,0.423
04/05/2011 01:00:00,0.423
04/05/2011 02:00:00,0.42
04/05/2011 03:00:00,0.419
04/05/2011 04:00:00,0.419
04/05/2011 05:00:00,0.42
04/05/2011 06:00:00,0.42
04/05/2011 07:00:00,0.42
04/05/2011 08:00:00,0.42
04/05/2011 09:00:00,0.418
04/05/2011 10:00:00,0.418
04/05/2011 11:00:00,0.418
04/05/2011 12:00:00,0.417
04/05/2011 13:00:00,0.417
04/05/2011 14:00:00,0.418
04/05/2011 15:00:00,0.416
04/05/2011 16:00:00,0.417
04/05/2011 17:00:00,0.417
04/05/2011 18:00:00,0.418
04/05/2011 19:00:00,0.415
04/05/2011 20:00:00,0.415
04/05/2011 21:00:00,0.415
04/05/2011 22:00:00,0.416
